text,labels
"UPDATED–Dr. David B. Cohen, the surgeon who was shot Thursday at Johns Hopkins Hospital in East Baltimore, has been upgraded to good condition, according to hospital spokesman Gary Stephenson. The family issued a statement Monday regarding  the incident. We are deeply appreciative of the outpouring of support and concern for us during this difficult time, the statement said.  We are especially grateful to everyone at Johns Hopkins who worked to make Davids recovery possible. Now it is important that  our time and energy be focused on Davids recovery.  David is in good condition and continuing to recover more and more every day.  We are asking the media to please respect our privacy during this time of healing.  Thanks for your understanding. Meanwhile, Baltimore police searched the Virginia home of the shooter while the citys police commissioner met with other city universities to review coordinated emergency response procedures. Cohen is expected to make a full recovery, although it is unclear when he will be discharged from the hospital. Cohens family and friends asked the media to respect her familys right to privacy. They are a very private family, Stephenson said. The Cohens Cockeysville neighbors have said that Cohen and his family keep mostly to themselves. Paul Warren Pardus, 50, shot Cohen in the abdomen after becoming dissatisfied with the quality of care being given to his mother. After shooting Cohen, Pardus turned the gun on his mother, killing her and then himself. The Baltimore Police Department obtained warrants today to search Parduss home in the 2100 block of South Kenmore Street in Arlington for evidence of a pre-meditated attack. It looks like he may have taken some time off recently to care for this mother who was ill. Theres nothing right now that points to the fact that this was a pre-meditated attack against Johns Hopkins or the doctor, said Anthony Guglielmi, spokesman for the Baltimore Police Department. He was just dissatisfied with the quality care that she received at the hospital and he unfairly took it out on the doctor. When reports of gunfire in the hospital first emerged, Baltimore police immediately began working with Hopkins security staff, among others, to restore safety to the facility. Guglielmi said police Commissioner Frederick Bealefeld was very pleased with the response, but the department wanted to take the opportunity to improve existing security measures. Hopkins, when we went in there, it was so turn-key that it was almost like their security force was an extension of the BPD, Guglielmi said. We were all speaking the same language. They understood the command structure. Bealefeld today met with the heads of all universities and most hospitals in the Baltimore area to review response protocol. We want to make sure that (system) exists at other places, God forbid we get a campus gunman or a Virginia Tech incident on our hands here in Baltimore, Guglielmi said. The time that it would take for the police department to go in and set up an infrastructure and make sure that everyone is on the same page is valuable time that could mean the difference of living and dying.",0
"RIGHT NOW: Police blocking off New Britain Ave in West Hartford for investigation. @NBCConnecticut pic.twitter.com/cyXAPXkrPT  WEST HARTFORD, CT - A portion of New Britain Avenue is closed down as of 7:30 p.m. Wednesday evening due to an ongoing police investigation, according to an NBC Connecticut report. The Hartford Courants reports that the police activity is focused on a Westgate Street house. No other information has been released. Well continue to update this breaking news story. Check back for the latest updates.",0
"BRIDGEWATER, MA – Traffic is slow heading south on Rt. 24 Wednesday morning, according to reports. The delays are the result of a multi-vehicle crash in Bridgewater near the Rt. 104 exit. Drivers should expect heavy delays in the area. Find your local Patch and subscribe to keep up with whats going on around you.",0
"ATMORE, AL — Torrey Twane McNabb raised his middle fingers as he was put to death Thursday night for the killing of a cop. McNabbs attorneys had unsuccessfully sought to stop the execution since he was one of several inmates in an ongoing lawsuit challenging the humaneness of the states lethal injection procedure. Before he was put to death, he cursed the state and said: I hate you. McNabb was convicted of killing Montgomery police officer Anderson Gordon in 1997. He shot Gordon five times as the officer sat in his patrol car after arriving at a traffic accident McNabb caused while fleeing a bail bondsman, prosecutors said. Watch: Man Executed For Killing Alabama Police Officer Gordons relatives said in a statement that the 30-year-old officer — known as Brother — was devoted to his family, his two children and his work as a police officer. Over 20 years ago, we lost a companion, a father, a brother and friend who only wanted to make a difference in his community, the statement read. Although, the wounds of having a family member murdered can never be healed, through this tragedy, the Gordon family has remained strong and will continue to be resilient. The inmates in the lawsuit have argued that the sedative midazolam does not reliably render a person unconscious before subsequent drugs stop their lungs and heart. They point to an execution last December during which an Alabama inmate coughed and heaved for the first 13 minutes of the procedure. McNabb appeared to be breathing for the first 20 minutes of the 35-minute long procedure. He later appeared to move his head, grimace and raise his arms after two consciousness checks in which a guard pinches his arm, says his name and pulls back his eyelid — before eventually becoming still. His family members and attorneys who witnessed the execution expressed repeated concerns to each other that he was still conscious during the lethal injection. Hes going to wake up, one of McNabbs family members whispered. He was pronounced dead at 9:38 p.m. CDT, authorities said. Alabama Commissioner Jeff Dunn said he was confident the movements after the second consciousness check were involuntary and that McNabb was not awake. A lawyer for McNabb argued that it would be wrong to carry out the execution while proceedings continue in McNabbs lawsuit. The state argued that the inmates are unlikely to prevail in their claims since the U.S. Supreme Court has allowed other executions, including four in Alabama, to proceed using midazolam. The attorney generals office argued McNabb had presented nothing new to justify a stay. The U.S. Supreme Court delayed the execution for more than two hours to consider McNabbs request for a stay, but ruled that the execution could go forward. By KIM CHANDLER, Associated Press Alabama Department of Corrections via AP",0
Nassau County Police reported the following information. Sign up for your local Patch newsletter and breaking news alerts here More on Patch:,0
"VERNON, CT — A Vernon woman is facing more that 40 criminal charges related to credit card fraud, police said. Kristin Messier, 24, of 60 Old Town Road, Vernon, was arrested on a warrant at 1 a.m. Monday. According to an arrest report, her charges include: She was held on a $5,000 bond and was to appear in court on Monday, police said. Photo Credit: Shutterstock",0
"A 20-year-old man has been sentenced to five years in prison after pleading no contest Tuesday to felony assault charges after shooting a drug dealer in Daly City during a narcotics transaction gone wrong last year. Jordan Manuel Perez met with the 24-year-old victim near a residence on Vendome Avenue on Aug. 24, 2016. When an argument broke out, Perez pulled out a gun and shot the dealer once in the abdomen before fleeing the scene, prosecutors said. The victim wasnt initially cooperative, but eventually allowed detectives to search his phone and they identified Perez as a suspect. The victim eventually identified Perez during a photo lineup. He pleaded no contest to felony assault with a firearm charges, admitting also to an enhancement for the infliction of great bodily injury. Perez is going in to his five-year sentence with 546 days credit for time served. Defense attorney Mark Camperi did not immediately respond to a request for comment on his clients behalf. — By Bay City News Service / Patch file photo by Renee Schiavone",0
"NEWINGTON, CT — Here are the most recent arrest logs, as provided by the Newington Police Department. Items reflect charges filed, not convictions. Tuesday, March 13 Jose Moreira, 47, of 35 Main St., Newington, was charged with third-degree criminal mischief and disorderly conduct, 1:00 a.m. Muzi Teixeira, 36, of 35 Main St., Newington, was charged with risk of injury to a child and disorderly conduct, 1:20 a.m. Wednesday, March 14 Timothy Sotis, 48, of 47 Ward St., Vernon, was charged with sixth-degree larceny, 4:54 p.m. Jason Yatzook, 41, of 58 Towne Dr., Berlin, was charged with carrying a dangerous weapon, risk of injury to a child, home invasion, first-degree burglary, second-degree criminal mischief, disorderly conduct and second-degree reckless endangerment, 7:00 p.m. Thursday, March 15 Edison Glenn, 40, of 718 Church St., Newington, was charged with disorderly conduct, third-degree assault and first-degree unlawful restraint, 12:47 a.m. Friday, March 16 Nicholas Velazquez, 19, of 51 Scotland Rd., East Hartford, was charged with third-degree larceny, first-degree robbery, second-degree breach of peace and second-degree unlawful restraint, 10:48 a.m. Kathryn Stinson, 52, of 193 Hampton St., Hartford, was charged with sixth-degree larceny, 3:00 p.m. Britiana Graham, 22, of 70 Osgood Ave., New Britain, was charged with sixth-degree larceny and conspiracy to commit sixth-degree larceny, 4:13 p.m. Roberta Wray, 19, of 216 Barbour Rd., New Britain, was charged with conspiracy to commit sixth-degree larceny, 4:13 p.m. Yanilee Martinez-Santos, 19, of 947 West Main St., New Britain, was charged with sixth-degree larceny, 8:49 p.m. Ryne Mehan, 24, of 317 Pjeasant Dr., Rocky Hill, was charged with sixth-degree larceny, 10:15 p.m. Sunday, March 18 Elisa Figueroa, 32, of 149 Wethersfield Ave., Hartford, was charged with sixth-degree larceny, 9:59 p.m. Monday, March 19 Chelsea Naglak, 27, of 258 Weston Rd., Stafford, was charged with sixth-degree larceny (three counts) and third-degree robbery, 10:00 a.m. William Marchinkoski, 48, of 167 Liberty St., Middletown, was charged with sixth-degree larceny and conspiracy to commit sixth-degree larceny, 9:45 p.m. Susan Schmitt, 42, of 114 Thomas St., Middletown, was charged with sixth-degree larceny and conspiracy to commit sixth-degree larceny, 9:45 p.m. Tuesday, March 20 Carlos Gonzalez, 38, of 14 Forest Glen Cir., Middletown, was charged with disobeying signal of an officer, operating under the influence and failure to obey traffic control signals, 12:16 a.m. Photo credit: Newington Police Department",0
"FALLS CHURCH, VA—A hit-and-run involving a delivery truck knocked out the power in the Eden Center and Seven Corners area Thursday, police say. Falls Church Police say a delivery truck struck a power pole cable, which knocked out multiple power poles and downed three transformers. The delivery truck fled the scene. No one was injured. One of the transformers knocked down was leaking mineral oil, but it has been contained and is no longer a concern. Most of the shopping center is experiencing power outages, and Dominion Energy is on scene. As of 4:20 p.m., the estimated time for power restoration at the Eden Center is between 8 p.m. and 11 p.m. Check the outage map for the latest information. Police say additional information on the suspect and potential charges will be released. If you have information on the incident, call Falls Church Police at 703-248-5053. Like Falls Church Patch on Facebook.  Image via Fairfax County Police",0
"NASHVILLE, TN — Metro Police arrested four people early Tuesday morning for allegedly trying to rob a gun store. The alarm at Shooters at 573 Murfreesboro Road went off around 5:15 Tuesday morning. When police arrived, they saw no immediate signs of forced entry, such as broken windows, but did notice a car parked beside a nearby abandoned building. Police blocked in the car and arrested an adult male and juvenile female when they returned to the car. Meanwhile, other officers saw that the back door of the gun store had been kicked in and that a pipe had been used to bust through the drywall. While they were investigating, two other men arrived on the scene and asked police what was going on. One of those men had drywall dust on his pants. That pair of men was also arrested. Image via Shutterstock",0
