text,labels
"The driver and passenger of a gray Mercury Marquis were arrested for a variety of drug charges at 9:47 p.m. on June 3. Patrol officers stopped the car on westbound Interstate 90 near the North Mercer Way onramp at 76th Avenue SE and a registration check indicated that the registered owner of the car was wanted for arrest for driving on a suspended license. Officers noticed furtive movements in the car and requested permission to search the vehicle. Police found a pipe, burnt foil, rock crystal meth and a butterfly knife. The driver, a 43-year-old Kent man, and a 27-year old Renton man were arrested for suspicion of drug possession and weapons violations while the passenger was later picked up by Seattle Police and taken back to Seattle. The driver was booked into the King County Jail and the car will remain impounded until searched. Man crashes into Illegally Parked Lexus in Dark atA resident of the 9000 block of West Shorewood Drive was backing up in his Toyota SUV traveling eastbound in the unlit parking lot/driveway in front of a building at Complex when he backed into a Lexus IS250 parked in the fire lane at 10:05 p.m. The owner was notified of the traffic accident and no injuries were reported. Woman Walks Away From Head-On Crash into Town CenterA 21-year-old Clyde Hill woman and a passenger walked away with no known injuries from her totaled Ford Fiesta at 4 a.m. on May 24 near the intersection of 80th Ave. SE and SE 32nd Street. The car was traveling southbound on 80th Ave. and was unable to complete a turn at the intersection, skipping over the curb and crashing into a tree head-on. Unable to locate the woman and the passenger, investigators found the vehicles airbag had deployed and towed the car from the scene. The womans mother later contacted police to confirm who was driving and that her daughter was unhurt. The driver was later cited by mail for driving too fast for conditions. Fortuna Resident Reports Check FraudA resident of a home on the 9200 block of SE 33rd Street reported a personal check had been stolen from his checkbook and fraudulently written and passed by an unknown suspect over the weekend of May 12. The man said he did not write this check or give anyone permission to write or cash a check in his name.Scofflaw sent to Issaquah JailA 29-year-old Seattle man was arrested at 5:14 p.m. in the King County Jail for outstanding misdemeanor warrants, and was transported to Issaquah Jail where he was booked. $1,100 in Tools Stolen from East Mercer Home RemodelA local construction company reported the theft of over $1,100 in tools from a secured residence undergoing remodeling work. Gallagher Co. Development and Construction reported several hand tools, chop saw, an air compressor, and a 10-inch table saw were taken from a property on the 3800 block of East Mercer Way sometime between May 25 - May 29.Kent Woman Cited for Driver Inattention in First Hill CrashA 22-year-old Kent woman was cited for driver inattention after her Mitsubishi Lancer crashed into the rear of a BMW 528X on the 7400 block of SE 24th Street at 12:35 p.m. She said she thought the BMW had begun to turn left into the Island Corporate Center driveway and tried to pass.Vehicles collide in East Seattle intersectionTall Landscaping was to blame in a minor fender-bender at the intersection of 62nd Ave. SE and SE 28th Street in the East Seattle neighborhood. A 20-year-old Rutland, VT woman driving a Mazda 4-door entered the intersection at the same time as a Mercedes Benz SUV, each at approximately 20 mph. The SUV struck the drivers side door of the Mazda, causing minor damage. No injuries were reported. Crash on Island Crest WayA resident of a home on the 6200 block of Parkside Lane attempted to make a left turn onto Island Crest Way heading northbound directly in front of a Cadillac Escalade, causing an accident. The Cadillac damaged the Toyotas front bumper and wheel well in the collision. No injuries were reported, and the 70-year-old Toyota driver was cited for failure to yield.Car Found Damaged in Island Square Parking LotThe left-rear side and bumper of a 4-door Honda Accord was discovered damaged at 8:30 a.m. in the parking garage.Seattle Man Arrested for DUIPolice stopped arrested a 33-year-old Seattle man driving for drunk driving after police stopped his vehicle at 9:53 p.m. at the westbound I-90 onramp at 76th Avenue SE and North Mercer Way. Officers pulled the GM Safari van over for running a stop sign and detected the strong odor of alcohol from inside. Police also noticed empty or opened beer cans inside. The man failed several field sobriety tests and later provided 0.134 and 0.139 breathalyzer test readings at the Mercer Island Police Department. Mercer Island scofflaw arrested in Seattle A 50-year-old resident was arrested in Seattle for harassment and malicious mischief warrants at 9:01 p.m. and transported to the Issaquah Jail on $10,000 bail. Boys busted at 3 a.m. on Clarke BeachPolice contacted a group of teenage boys in at 3:05 a.m. and a check of their identities revealed a 17-year-old Renton teenager wanted on felony arrest warrants for auto theft. Police arrested the youth and booked him into the county youth detention center in Seattle.Drunk Driver Busted on 84th AvenueA resident of the 7400 block of Mercer Terrace Drive was arrested for drunk driving on the 6800 block of 84th Avenue SE after he was stopped for multiple traffic violations. Police stopped the Mercury Sable and noticed the strong odor of alcohol from inside. The man failed several field sobriety tests and later provided 0.156 and 0.154 breathalyzer test readings at the .Resident a Victim of Credit Card FraudA resident of a home on the 2900 block of 76th Avenue SE discovered a fraudulent charge of $95.05 was made to his Washington State employees credit union out of Delaware at 12:00 p.m. The victim immediately called his bank and cancelled his credit card.RideShare Van rear-ends Audi on Island Crest WayA county RideShare van rear-ended an Audi A5 on southbound Island Crest Way at the intersection of SE 40th Street at 3:50 p.m. The driver of the van said he was stopped at the light behind the car and began to inch forward as the light turned green, causing the crash. The driver of the Audi complained of neck pain and the van driver was cited for following too closely. Kent Woman Arrested on WarrantsPolice arrested a 33-year-old Kent woman on outstanding misdemeanor warrants at the King County Justice Center in Kent. She was taken to the SCORE Jail in Des Moines for holding until her court date.Bellevue Man Held on WarrantA 20-year-old Bellevue man was arrested on an outstanding misdemeanor warrant in Bellevue at 2:41 p.m. and booked into the Issaquah Jail. Fence-Jumping Youth Taunts OwnerA young male jumped over a privacy fence of unit at the Newell Court Apartments at 6:39 p.m., causing minor damage to the fence. The 64-year-old resident attempted to confront the youth but he taunted the man and sped away in a white Chevrolet Malibu. Sheriffs Book Man Into Jail on WarrantA 28-year-old Burien man was arrested by King County Sheriffs on a Mercer Island warrant. He was booked into the SCORE Jail in Des Moines.",0
"A Muslim civil rights group is seeking hate crime charges in an alleged attack by a Harford County man on a Muslim teen.

Charles Valle Jr., 60, was charged in the February incident with second-degree assault and malicious destruction of property, both misdemeanors.

The Harford County states attorney said he does not view the incident as a hate crime.

Dawar Aamir, 19, gave his version of the confrontation at a news conference Wednesday.

Aamir said he was driving in Bel Air on Feb. 27 when he was nearly in a collision with a vehicle driven by an older white man.

When Aamir parked his car, he said, he heard a loud bang, and then the man yanked open his door.

Aamir said the man hit him in the face, knocking off his glasses. As Aamir felt around the ground for his glasses, now broken, he said, the man yelled at him to get out of the country.

I wouldnt wish this pain and humiliation on my worst enemies, Aamir said.

Valle could not be reached for comment Wednesday. Messages left for his attorney were not returned.

The Council on American-Islamic Relations called on prosecutors to bring hate crime charges.

The physical, emotional, and psychological toll of such attacks must not be ignored or trivialized, said Zainab Chaudry, outreach director for CAIR Maryland. We urge prosecutors to hold this alleged attacker accountable and to send a message to the public that hate crimes will be prosecuted to the full extent of the law.

Harford County States Attorney Joseph Cassilly said he didnt think it was necessary to add hate crime charges.

Its a road rage incident where the victim and defendant happen to be of different ethnic backgrounds, he said. Its not like the guy just picked the guy out of a crowd and walked up to him for no reason.

CAIR says it received 851 reports nationwide in the first quarter of this year of incidents that contained an identifiable element of anti-Muslim bias. The organization says alleged bias incidents increased more than 55 percent from 2015 to 2016.

It speaks to the normalization of anti-Muslim bigotry in this country, Chaudry said.

Raees Khan, executive director of the Greater Baltimore Muslim Council, said his community is fearful. A hate crime charge in Aamirs case, he said, would help put people at ease.

CAIR attorney Gadeir Abbas said, Its important for all parts of the government to do what can be done to tamp down this rising tide of bigotry.

It sends a message that this type of bigoted violence is not going to be tolerated in Harford County.",1
"A New York woman who has demonstrated as part of West Roxburys pipeline protest was severely injured while protesting a pipeline in Standing Rock, North Dakota, and could lose her arm, according to accounts from fellow activists. Sophia Wilansky is part of the so-called Mass Grave Six and demonstrated alongside Vice President Al Gores daughter, Karenna, against the Spectra pipeline here this June, as Boston Magazine first reported. Activists claim Wilansky was injured at Standing Rock when she was shot with a concussion grenade in the course of a confrontation between police and protesters against the Dakota Access Pipeline, which crosses near tribal lands. Gory Facebook photos shared by supporters appear to show Wilanskys arm, bloody and badly disfigured. According to a GoFundMe page raising money for Wilanskys treatment, As of last night, we found out she was air lifted to County Medical Center in Minneapolis were shes currently undergoing extensive, hours-long surgery from injuries sustained from the blast. According to one supporters post, Wilansky will need multiple surgeries to try to gain some functional use of the arm and hand. She will be, every day for the foreseeable future, fearful of losing her arm and hand. A sheriffs department spokesperson said police had not used any concussion grenades during a clash with pipeline protesters on Sunday, contradicting several reports from activists, according to The LA Times. Already, as of publication, the fundraising effort has topped $205,000 of its $250,000 goal. Image via GoFundMe",0
"The Justice Department charged James Alex Fields Jr., the driver accused of killing a counterprotester at last year’s white supremacist rally in Charlottesville, with multiple hate crimes Wednesday.

The charges include two hate crimes connected to the death of Heather Heyer, a counterprotester who was run over when Fields allegedly drove his car into a throng of anti-racist marchers. Fields also was indicted on 28 counts of hate crimes “causing bodily injury and involving an attempt to kill.” Those charges are related to the dozens of people injured in the same event.

“At the Department of Justice, we remain resolute that hateful ideologies will not have the last word and that their adherents will not get away with violent crimes against those they target,” Attorney General Jeff Sessions said in a statement. “Last summer’s violence in Charlottesville cut short a promising young life and shocked the nation. Today’s indictment should send a clear message to every would-be criminal in America that we aggressively prosecute violent crimes of hate that threaten the core principles of our nation.”

One of the counts filed in federal court in Charlottesville carries the possibility of the death penalty, although under Justice Department guidelines it will take months for prosecutors to decide whether they would seek execution if Fields, 21, is convicted.

[Read the Fields indictment]

Fields, who has been described by those who know him as a Nazi sympathizer, drove to Charlottesville from Ohio last summer as members of the Ku Klux Klan, neo-Nazi organizations and far-right white nationalist groups converged on the city. The groups participated in an Aug. 11 torchlight march through the University of Virginia campus and a “Unite the Right” rally the following day.



James Alex Fields Jr. had already been charged with second-degree murder and other counts before the federal hate crime charges were added. (Albemarle-Charlottesville Regional Jail/AP)

Both events were marked by racist and homophobic slurs and chants such as “Jews will not replace us” and “Our blood, our soil!” And both events rapidly descended into violence as marchers and counterprotesters clashed on the streets of the typically placid college town.

White supremacist leaders Richard Spencer and Jason Kessler, both University of Virginia graduates, organized the weekend events to protest the decision by Charlottesville to remove a statue of Robert E. Lee from a downtown park and rename the park Emancipation Park and, they said, to protect white heritage and white civil rights.

But the marchers at the Saturday rally, many armed with guns, clubs and bats, met fierce opposition from community members and anti-fascist protesters. Clashes soon erupted at the park and across the city. Law enforcement did not act immediately to break up altercations and stood by while groups battled in front of them. By 11:30 that morning, police declared the rally an unlawful assembly and it was not allowed to go on.

As the marchers and counterprotesters dispersed, there were isolated incidents of violence. But most groups separated, and it seemed that further damage had been averted.

[One dead as car strikes crowds amid protest of white nationalist gathering]



A photo of Heather Heyer rests among a makeshift memorial in Charlottesville, Va., in August 2017. Heyer was struck and killed by a car while protesting a white nationalist rally on Aug. 12. (Steve Helber/AP)

Less than two hours later, though, as counterprotesters carrying signs paraded through downtown streets, Fields approached in his 2010 Dodge Challenger. According to the indictment, Fields observed the crowd and then, “with no vehicle behind him, Fields slowly reversed his vehicle to the top of the hill near the intersection of Fourth and Market streets. Fields then rapidly accelerated, ran through a stop sign and across a raised pedestrian mall, and drove directly into the crowd, striking numerous individuals, killing Heyer and injuring many others.”

Heyer did not go to the event looking for a fight, said Adam S. Lee, special agent in charge of the FBI’s Richmond office. “She was looking to lend her voice to her cause. Peaceful protest without intimidation, without the threat of violence is every American’s birthright,” Lee said at a news conference announcing the indictment

Fields had been photographed during the rally carrying a shield with the insignia of Vanguard America, a white supremacist group that had a large presence at the event. The group later denied that Fields was a member. At the time of his arrest in Charlottesville, he was employed as a security guard.

[A neo-Nazi’s rage-fueled journey to Charlottesville]

Fields once told his former high school teacher, Derek Weimer, that the Army had turned him down because of his psychiatric history. Classmates and former teachers were aware of his infatuation with Hitler. Weimer told The Washington Post that he knew Fields held racist and anti-Semitic beliefs and that he praised Nazi ideology.

On the day of the rally, according to the indictment, “Multiple groups and individuals, including Fields, engaged in chants promoting or expressing white supremacist and other racist and anti-Semitic views.”

The impact of the weekend’s events was magnified when President Trump asserted that both the white supremacists and those who protested against them deserved blame.

Dozens of the white supremacists taking part in the rally wore red Make America Great Again hats and were vocal in their support of Trump. At an afternoon news conference on the day of the riots, Trump condemned “this egregious display of hatred, bigotry and violence on many sides. On many sides.”

David Duke, a former Ku Klux Klan leader and a Trump supporter who was in Charlottesville for the Unite the Right rally, replied to the president, writing, “I would recommend you take a good look in the mirror & remember it was White Americans who put you in the presidency, not radical leftists.”

Later that week, Trump further angered critics when he said that there were “some very fine people” among those who took part in the torchlight procession through the U-Va. campus and the rally.

In addition to the federal charges, Fields is being prosecuted in the city of Charlottesville on numerous state charges, including first-degree murder. That trial is expected to begin Nov. 26 in Charlottesville Circuit Court and is scheduled to last three weeks.

In the state case, Fields also is charged with aggravated malicious wounding counts and could face up to four life sentences plus 110 years in prison.

For the first-degree murder charge, Fields is being represented by Denise Lunsford, a former prosecutor. She declined to comment on the new indictments.

Susan Bro, Heyer’s mother, attended a news conference announcing the charges in Charlottesville. She told reporters she hadn’t yet read the full indictment and she isn’t sure whether she would support the death penalty for Fields. “I’m going to leave that to the process to decide,” she said. “It’s not my place to decide that.”

The decision to charge Fields with hate crimes comes as Charlottesville and other communities are preparing for the anniversary of the deadly riot. Kessler is appealing a decision by the city of Charlottesville to refuse his request to hold an event there on the weekend of Aug. 11-12. He has also received approval from the National Park Service to hold a “white civil rights” rally in Washington across the street from the White House that weekend. In his application for a permit, Kessler said he expects 400 people to attend that event.

Thomas Cullen, the U.S. attorney for the Western District of Virginia, said at the news conference Wednesday in Charlottesville that the government is continuing to investigate other aspects of Aug. 12 and that the investigation is a priority in his office and the Civil Rights division.

Ian Shapira contributed to this report.",1
"PARSIPPANY, NJ — Morris County Park Police made several arrests in mid-April, including for several teenagers with drugs in a county park. Read about their recent arrests, as written by police, here: -4/18: ARREST FOR WARRANT: Officers executed a motor-vehicle stop for an equipment violation at Central Park of Morris County in Parsippany. An investigation revealed the driver, Daniel M. Foit, age 27, of Dover, to have a warrant for failure to appear in Hoboken Municipal Court. He was able to post the required bail and released with a new court date pending. -4/18: ARREST FOR D.W.I.: Officers executed a motor-vehicle stop for a moving violation in Dover. An investigation led to Juan L. Mendosa-Peres, age 33, of Dover, to be charged with Driving While Intoxicated and several other moving violations. He was released with a court date pending. -4/19: ARREST FOR NARCOTICS: Officers executed a motor-vehicle stop for a moving violation in Mount Arlington. An investigation led to Clifford S. Robertson, age 20, of Mount Olive Township, to be charged with Possession of a Controlled Dangerous Substance and Possession of Drug Paraphernalia. He was released with a court date pending. -4/20: ARRESTS FOR NARCOTICS: Officers observed a County Ordinance Violation in Central Park of Morris County in Parsippany. An investigation led to an 18-year-old from Morristown, and a juvenile to be charged with Possession of a Controlled Dangerous Substance. The 18-year-old was released with a court date pending and the juvenile was released to a parent on-scene. -4/21: ARREST FOR NARCOTICS: Officers executed a motor-vehicle stop for a moving violation in Dover. An investigation led to a juvenile to be charged with Possession of a Controlled Dangerous Substance and Possession of Drug Paraphernalia. The juvenile was released to a guardian with a court date pending. Image via Shutterstock",0
"FBI helping American University investigate hate crime

The FBI is involved in helping American University in Northwest Washington find out who hung bananas from strings in the shape of nooses around campus.",1
"OSHA Investigates the Death of a Forklift Operator in Hazelwood The Occupational Safety and Health Administration is investigating an accident that killed a 53-year-old forklift operator in . Donald Mitchell died Sunday, Feb. 6 after being thrown from the forklift at the Supervalu Distribution Center located at 7100 Hazelwood Ave. According to a press release, the department responded to a call at approximately 12:36 p.m. The incident was called in to law enforcement as an accidental injury. On arrival Hazelwood Police officers assisted the paramedics, according to the release, as the victim had been pinned between a piece of heavy machinery and a railing. Mitchell was transported to, but died later at DePaul Health Center.  Hazelwood West Varsity Football Coach Resigns Cordez Vaughan, the head coach at , will not be returning as a coach next season, activities director Tim Williams confirmed with Hazelwood Patch. Hazelwood Patch will have more on the story as it is released. Williams declined to comment on the resignation, pending administration approval to discuss. Last season was Vaughans only season as the head coach.  U.S. Department of Defense Announces Latest Contract Awards The Boeing Company was awarded a $38,208,000 cost-plus-fixed-fee contract Feb. 9.  The award will provide work directives for up to 200,000 labor hours of systems engineering support and field service representatives for the Early-Infantry Brigade Combat Team Low Rate Initial Production contract.  Work will be performed in Hazelwood, with an estimated completion date of Dec. 31, 2011.  One bid was solicited with one bid received.  The U.S. Army Contracting Command, Warren, Mich., is the contracting activity (W56HZV-09-C-0452). , is also being awarded a $1,529,224,045 modification to definitize the previously awarded advance acquisition P-8A Multi-mission Maritime Aircraft (MMA) Low Rate Initial Production I contract (N00019-09-C-0022) to a fixed-price-incentive-firm contract. This modification provides for the procurement of six P-8A MMA and associated spares, support equipment and tools, logistics support, trainers and courseware. Below is a breakdown of where the work will be performed: Work is expected to be completed in January 2013. The Naval Air System Command, Patuxent River, Md., is the contracting activity.  Boeing Submits Tanker Bid to Air Force Boeing Co. said its submitted its final proposal to build the U.S. Air Force KC-X air tanker replacement. The deal could be worth about $35 billion. The company would build its NewGen tanker on its 767 airplane. In a statement, Boeing said that its proposal is better than the tanker proposed by rival Airbus, which would be built in Alabama. This decision is critical to Americas national security and its manufacturing base, said Boeing Chairman, President and CEO Jim McNerney in a statement. Our best-of-Boeing team has offered the most capable and fuel-efficient tanker that will enable the U.S. Air Force to continue serving as the worlds finest air refueling provider without breaking future defense budgets. The Air Force is expected to make a decision sometime early this year. Boeings $34 billion Defense, Space & Security division located here in Hazelwood is one of the largest employers in St. Louis with 16,000 workers locally and 68,000 employees worldwide. Boeing is Missouris largest manufacturer. Products include F/A-18s, F-15s, C-17s and weapons.  Cloud Sharing Keeping Savvis Afloat Savvis Corp. narrowed its net loss in the fourth quarter of 2010 on stronger revenue as more companies invested in cloud sharing--storing data and software off-site. The information technology company reported that its net loss and revenue were better than expected, which sent its shares to a new 52-week high. Chairman and CEO Jim Ousley leads Town & Country-based Savvis. The company operates 31 data centers worldwide, including here in Hazelwood. Savvis reported a net loss for the last quarter of 2010 in the amount of $2.9 million, which comes out to about 6 cents per share. This compares to a 2009 loss of $5.4 million, or 10 cents per share. The companys revenue jumped 15 percent, to $252.7 million, driven by a 20 percent increase in revenue from its hosting segment to which cloud computing services make up a growing portion. Our remarkable fourth quarter results were an appropriate end to 2010, with good growth in managed services, colocation and network revenue reported on both an annual and a quarterly basis,  Ousley said in a press release. Our successful execution and the strategic changes we made over the past year are reflected in our solid financials... The company reported in December that it expects to generate revenue of $1.03 billion to $1.06 billion in 2011. Shares of Savvis rose $1.10 to close Feb. 8 at $32.21. Savvis Inc.s stock shot up Jan. 28 on analysts speculation that it could be the next company to be bought after Verizon Communications Inc.s acquisition of Savvis rival Terremark Worldwide Inc.. ...Savvis is the closest public comparable to Terremark and, in our view, is thus a takeover candidate as well... a Benchmark Co. analyst wrote, Jan. 28 on Benzinga.com.",0
"GREENDALE -- In 2014, the Milwaukee Common Council voted to approve a new sex offender ordinance, banning them from living within 2,000 feet of schools, parks and day care centers. According to a report by the Journal Sentinel this week, supporters of the ordinance back in 2014 said it would protect the public by pushing more offenders out of the city and into the suburbs, where a disproportionately low number of the countys offenders lived. We wanted to know what this meant for Greendale. Using information compiled by the State Department of Corrections, we were able to create a registered sex offender map for Greendale, showing locations of each offender. In total, Greendale houses 5 such offenders. Here is a list of the general location, crime and conviction date for each offender. 5400 block Meadow Dr.Crime: Child EnticementConviction Date: 06/22/2006 8800 block Greenmeadow Ln.Crime: Third-Degree Sexual AssaultConviction Date: 09/24/2015 5600 block of Azalea Ct.Crime: First-Degree Sexual Assault of a ChildConviction Date: 02/05/1992 5400 block of Rainbow DriveCrime: Use of a Computer to Facilitate a Child Sex CrimeConviction Date: 09/10/2004 5500 block Angle LaneCrime: Repeated Acts of Sexual Assault Against Same ChildConviction Date: 08/24/1999 What the Journal Sentinel had found was that Milwaukee County suburbs continue to house about 10% of county offenders — about the same percentage as before the ordinance. As it turns out, tighter rules in Milwaukee havent produced the mass-exodus into the suburbs as initially thought. Instead, it has given rise to a spike in the homeless sex offender problem - and thats worrisome for public officials. For more information, you can visit the Department of Corrections website here: http://offender.doc.state.wi.u... Image Credit: Department of Corrections",0
"Singer-songwriter asks Mayor for help finding driver who called him poofter Related Links Will Young Will Young on Twitter Transport for London Participate Sign up for our Fulham newsletter Comment on this story on the

Transport for London has apologised to singer songwriter and actor Will Young after he reported homophobic abuse by a bus driver in Fulham. Will, 38 said he was driving through Fulham on December 12 when the bus driver called him a poofter. He is now trying to track down the driver to prevent further abuse, and has asked London Mayor Sadiq Khan for help. Will was driving his car at about 12.25pm on 12 December when he became involved in an altercation with the driver of a bus coming towards him on the opposite side of the road. Will, who came out as gay in 2002, tweeted about the incident @willyoung on 5 January, saying: Homophobic abuse from a tfl bus driver calling me a poofter. Reported it ten minutes after it happened and TfL been amazing.



TfL doing everything they can but I am appealing to @TfL @SadiqKhan to help me find the driver to ensure he doesnt abuse others . PLEASE DM me. He added:  TfL been great at reacting to my tweet . All I need is an apology - no witch hunt . To be called a poofter isnt the nicest thing and it reminds me what a vile thing prejudicial language is to try and shame others. I can take action, many young people cant. Steve Burton, TfL’s Director of Enforcement, said: We’re very sorry to hear of Will Youngs experience, and are looking into it urgently. Any form of hate crime is completely unacceptable and will not be tolerated. Everyone has the right to travel without fear of abuse or intimidation and if anyone witnesses or is victim to hate crime they should report it immediately. We work closely with our police partners to eradicate hate crimes and fully investigate all reported incidents.



A spokesman for the Mayor of London said: The Mayors Office are in touch with Will Young in regards to this incident and the work being done across the TfL network to tackle all forms of abuse including homophobic hate crime. January 11, 2018",1
"Red Line riders should expect delays during the Monday morning commute, according to the MBTA. The slowdowns are the result of a disabled train at Porter. The impact to service is now minor, the agency said.",0
